bill_id,title,description,date,topic
B1071,Bill Title 71,Description for bill 71,2024-10-31,Environment
B1072,Bill Title 72,Description for bill 72,2024-11-30,Economy
B1073,Bill Title 73,Description for bill 73,2024-12-30,Environment
B1074,Bill Title 74,Description for bill 74,2025-01-29,Economy
B1075,Bill Title 75,Description for bill 75,2025-02-28,Education
B1076,Bill Title 76,Description for bill 76,2025-03-30,Economy
B1077,Bill Title 77,Description for bill 77,2025-04-29,Environment
B1078,Bill Title 78,Description for bill 78,2025-05-29,Defense
B1079,Bill Title 79,Description for bill 79,2025-06-28,Environment
B1080,Bill Title 80,Description for bill 80,2025-07-28,Immigration
B1081,Bill Title 81,Description for bill 81,2025-08-27,Healthcare
B1082,Bill Title 82,Description for bill 82,2025-09-26,Education
B1083,Bill Title 83,Description for bill 83,2025-10-26,Education
B1084,Bill Title 84,Description for bill 84,2025-11-25,Economy
B1085,Bill Title 85,Description for bill 85,2025-12-25,Healthcare
B1086,Bill Title 86,Description for bill 86,2026-01-24,Economy
B1087,Bill Title 87,Description for bill 87,2026-02-23,Immigration
B1088,Bill Title 88,Description for bill 88,2026-03-25,Defense
B1089,Bill Title 89,Description for bill 89,2026-04-24,Immigration
B1090,Bill Title 90,Description for bill 90,2026-05-24,Economy
B1091,Bill Title 91,Description for bill 91,2026-06-23,Defense
B1092,Bill Title 92,Description for bill 92,2026-07-23,Education
B1093,Bill Title 93,Description for bill 93,2026-08-22,Healthcare
B1094,Bill Title 94,Description for bill 94,2026-09-21,Economy
B1095,Bill Title 95,Description for bill 95,2026-10-21,Environment
B1096,Bill Title 96,Description for bill 96,2026-11-20,Education
B1097,Bill Title 97,Description for bill 97,2026-12-20,Immigration
B1098,Bill Title 98,Description for bill 98,2027-01-19,Healthcare
B1099,Bill Title 99,Description for bill 99,2027-02-18,Economy
B1100,Bill Title 100,Description for bill 100,2027-03-20,Education
B1101,Bill Title 101,Description for bill 101,2027-04-19,Defense
B1102,Bill Title 102,Description for bill 102,2027-05-19,Healthcare
B1103,Bill Title 103,Description for bill 103,2027-06-18,Environment
B1104,Bill Title 104,Description for bill 104,2027-07-18,Healthcare
B1105,Bill Title 105,Description for bill 105,2027-08-17,Economy
B1106,Bill Title 106,Description for bill 106,2027-09-16,Economy
B1107,Bill Title 107,Description for bill 107,2027-10-16,Healthcare
B1108,Bill Title 108,Description for bill 108,2027-11-15,Education
B1109,Bill Title 109,Description for bill 109,2027-12-15,Defense
B1110,Bill Title 110,Description for bill 110,2028-01-14,Education
B1111,Bill Title 111,Description for bill 111,2028-02-13,Defense
B1112,Bill Title 112,Description for bill 112,2028-03-14,Healthcare
B1113,Bill Title 113,Description for bill 113,2028-04-13,Immigration
B1114,Bill Title 114,Description for bill 114,2028-05-13,Economy
B1115,Bill Title 115,Description for bill 115,2028-06-12,Economy
B1116,Bill Title 116,Description for bill 116,2028-07-12,Defense
B1117,Bill Title 117,Description for bill 117,2028-08-11,Healthcare
B1118,Bill Title 118,Description for bill 118,2028-09-10,Defense
B1119,Bill Title 119,Description for bill 119,2028-10-10,Education
